City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,21-04-10 02:57:42,72.7868,-56.1549,10.09,96,100,12.86
1,Sao Joao Da Barra,BR,21-04-10 02:59:59,-21.6403,-41.0511,73.18,71,0,4.76
2,Wasilla,US,21-04-10 02:58:17,61.5814,-149.4394,19.99,38,1,9.22
3,Champerico,GT,21-04-10 03:02:37,14.3,-91.9167,66.99,96,34,7.85
4,Saskylakh,RU,21-04-10 03:02:37,71.9167,114.0833,-2.27,90,35,1.9
5,Japura,ID,21-04-10 02:59:33,-0.3167,102.35,82.58,75,100,3.11
6,Henties Bay,NA,21-04-10 03:02:38,-22.116,14.2845,76.86,44,0,6.42
7,Ahipara,NZ,21-04-10 03:02:38,-35.1667,173.1667,68.27,94,93,12.97
8,Brovst,DK,21-04-10 03:02:38,57.0956,9.528,33.8,86,20,11.5
9,Caravelas,BR,21-04-10 03:02:39,-17.7125,-39.2481,72.64,89,33,6.87
10,Ostrovnoy,RU,21-04-10 03:02:39,68.0531,39.5131,33.53,89,96,32.68
11,Rikitea,PF,21-04-10 03:02:39,-23.1203,-134.9692,78.46,74,75,11.7
12,Mahibadhoo,MV,21-04-10 03:02:40,3.7833,72.9667,82.38,73,10,4.83
13,Bowen,AU,21-04-10 03:02:40,-20.0167,148.2333,87.8,55,5,9.22
14,Gravdal,NO,21-04-10 03:02:40,68.1214,13.5031,32.99,51,100,10.8
15,Kruisfontein,ZA,21-04-10 03:02:41,-34.0033,24.7314,57.09,82,65,2.59
16,Altamont,US,21-04-10 03:02:41,42.2068,-121.7372,54.0,24,1,13.8
17,Buchanan,LR,21-04-10 03:02:41,5.8808,-10.0467,75.2,94,20,3.36
18,Hilo,US,21-04-10 02:58:23,19.7297,-155.09,78.8,53,1,11.5
19,Albany,US,21-04-10 03:02:41,42.6001,-73.9662,59.0,73,100,3.04
20,Thompson,CA,21-04-10 03:02:42,55.7435,-97.8558,35.6,80,20,8.05
21,Punta Arenas,CL,21-04-10 02:59:55,-53.15,-70.9167,42.8,75,0,14.97
22,Mataura,NZ,21-04-10 03:02:42,-46.1927,168.8643,57.0,91,100,5.99
23,Tasiilaq,GL,21-04-10 02:58:34,65.6145,-37.6368,23.0,63,100,10.36
24,Kapaa,US,21-04-10 02:57:42,22.0752,-159.319,75.2,64,20,16.11
25,Osmena,PH,21-04-10 03:02:43,10.5208,119.9258,82.44,75,50,13.78
26,Arraial Do Cabo,BR,21-04-10 02:57:54,-22.9661,-42.0278,74.8,75,6,12.88
27,Bluff,NZ,21-04-10 03:02:43,-46.6,168.3333,57.0,91,100,5.99
28,Dehloran,IR,21-04-10 03:02:43,32.6941,47.2679,76.14,16,37,11.01
29,Kidal,ML,21-04-10 03:02:44,18.4411,1.4078,81.54,11,0,11.52
30,Hobart,AU,21-04-10 03:01:39,-42.8794,147.3294,55.4,47,20,19.57
31,Port Alfred,ZA,21-04-10 03:02:44,-33.5906,26.891,62.24,84,54,1.36
32,Kahului,US,21-04-10 03:02:44,20.8947,-156.47,78.8,53,20,20.71
33,Ribeira Grande,PT,21-04-10 02:58:28,38.5167,-28.7,59.45,86,100,17.98
34,Kodiak,US,21-04-10 03:02:45,57.79,-152.4072,33.8,25,1,16.11
35,Port Elizabeth,ZA,21-04-10 03:02:45,-33.918,25.5701,55.4,94,0,2.3
36,Altay,CN,21-04-10 03:02:46,47.8667,88.1167,41.22,40,0,0.92
37,Klaksvik,FO,21-04-10 03:02:46,62.2266,-6.589,28.4,86,40,23.02
38,Bereda,ES,21-04-10 02:58:34,43.2686,-7.5406,48.99,100,53,1.99
39,Bambous Virieux,MU,21-04-10 03:00:29,-20.3428,57.7575,78.51,77,100,13.0
40,Coquimbo,CL,21-04-10 03:01:26,-29.9533,-71.3436,57.2,88,0,2.3
41,Vaini,TO,21-04-10 03:02:46,-21.2,-175.2,80.6,74,40,6.91
42,Bubaque,GW,21-04-10 03:02:47,11.2833,-15.8333,76.6,71,1,11.39
43,Ancud,CL,21-04-10 03:00:41,-41.8697,-73.8203,48.0,100,0,5.75
44,Provideniya,RU,21-04-10 03:02:47,64.3833,-173.3,2.55,85,100,16.73
45,Shenjiamen,CN,21-04-10 03:02:47,29.9576,122.298,59.45,77,54,13.18
46,Kaitangata,NZ,21-04-10 03:00:42,-46.2817,169.8464,56.32,86,100,12.48
47,Huarmey,PE,21-04-10 03:00:45,-10.0681,-78.1522,69.62,87,100,6.46
48,Faanui,PF,21-04-10 02:57:59,-16.4833,-151.75,82.58,69,90,7.43
49,Marawi,PH,21-04-10 03:02:48,7.9986,124.2928,84.0,80,84,4.0
50,Chokurdakh,RU,21-04-10 03:02:48,70.6333,147.9167,-6.61,89,74,11.18
51,Tungor,RU,21-04-10 03:02:49,53.3808,142.9564,32.29,71,9,2.84
52,Kununurra,AU,21-04-10 03:02:49,-15.7667,128.7333,96.8,32,39,8.05
53,Nam Som,TH,21-04-10 03:02:49,17.7704,102.1895,89.01,65,75,9.22
54,Ushuaia,AR,21-04-10 03:02:50,-54.8,-68.3,42.8,70,75,7.25
55,Puerto Ayora,EC,21-04-10 03:02:50,-0.7393,-90.3518,75.0,98,89,2.35
56,Matay,EG,21-04-10 03:02:50,28.419,30.7792,52.92,59,0,14.38
57,Camana,PE,21-04-10 03:02:51,-16.6228,-72.7111,69.48,80,100,6.64
58,Noumea,NC,21-04-10 02:58:16,-22.2763,166.4572,82.4,78,75,3.44
59,Airai,TL,21-04-10 02:58:51,-8.9266,125.4092,74.07,49,8,3.02
60,Kanina,CD,21-04-10 03:02:51,-10.7341,25.4699,58.96,90,100,8.08
61,Grafton,US,21-04-10 03:02:51,42.207,-71.6856,52.0,71,1,10.36
62,San Cristobal,VE,21-04-10 03:02:52,7.7669,-72.225,78.8,89,40,3.44
63,Barra Patuca,HN,21-04-10 03:02:52,15.8,-84.2833,78.75,83,36,13.69
64,Bengkulu,ID,21-04-10 03:02:52,-3.8004,102.2655,84.33,67,29,6.73
65,Byron Bay,AU,21-04-10 03:02:52,-28.65,153.6167,86.0,35,2,14.97
66,Saint-Augustin,CA,21-04-10 03:02:53,51.226,-58.6502,29.17,78,44,14.34
67,Vestmanna,FO,21-04-10 03:02:53,62.1564,-7.1664,28.4,86,40,23.02
68,Luderitz,NA,21-04-10 03:02:53,-26.6481,15.1594,73.29,47,0,5.08
69,Roald,NO,21-04-10 03:02:54,62.5833,6.1333,36.0,80,90,16.11
70,Wewak,PG,21-04-10 03:02:54,-3.5534,143.6268,80.53,84,100,12.86
71,Aasiaat,GL,21-04-10 03:02:54,68.7098,-52.8699,16.83,88,97,10.92
72,Nishihara,JP,21-04-10 02:58:37,26.1842,127.7558,77.0,57,75,17.27
73,Mattru,SL,21-04-10 03:02:55,7.6244,-11.8332,78.1,88,100,2.13
74,Atuona,PF,21-04-10 03:00:20,-9.8,-139.0333,80.38,77,43,15.1
75,San Patricio,US,21-04-10 03:02:55,28.017,-97.5169,78.8,83,1,12.66
76,Mogadishu,SO,21-04-10 03:02:56,2.0371,45.3438,81.39,77,65,8.7
77,Busselton,AU,21-04-10 03:02:56,-33.65,115.3333,68.0,64,0,5.01
78,Hokitika,NZ,21-04-10 03:02:56,-42.7167,170.9667,61.14,93,100,7.63
79,Georgetown,MY,21-04-10 03:02:56,5.4112,100.3354,87.8,78,20,2.39
80,French Harbor,HN,21-04-10 03:02:57,16.35,-86.4333,82.0,87,100,1.99
81,Port Hardy,CA,21-04-10 03:01:13,50.6996,-127.4199,39.2,100,90,13.8
82,Ponta Delgada,PT,21-04-10 03:02:57,37.7333,-25.6667,57.2,88,40,6.91
83,Port-Gentil,GA,21-04-10 03:02:57,-0.7193,8.7815,79.88,82,100,8.23
84,Severnyy,RU,21-04-10 03:02:58,50.677,36.5532,33.8,75,0,6.71
85,Thayetmyo,MM,21-04-10 03:02:58,19.3167,95.1833,91.02,38,0,6.78
86,East London,ZA,21-04-10 02:59:27,-33.0153,27.9116,64.94,88,58,4.29
87,Port Hedland,AU,21-04-10 03:02:58,-20.3167,118.5667,91.4,62,75,13.8
88,Jamame,SO,21-04-10 03:02:59,0.0722,42.7506,79.0,83,9,7.23
89,Mosquera,CO,21-04-10 03:02:59,4.7059,-74.2302,55.4,88,75,6.91
90,Ouango,CF,21-04-10 03:02:59,4.3133,22.5552,69.89,95,100,1.92
91,Seoul,KR,21-04-10 03:01:14,37.5683,126.9778,60.8,38,0,5.75
92,Pitimbu,BR,21-04-10 03:03:00,-7.4706,-34.8086,73.4,100,0,6.91
93,Cherskiy,RU,21-04-10 03:03:00,68.75,161.3,5.25,77,100,5.5
94,Dores Do Indaia,BR,21-04-10 03:03:00,-19.4633,-45.6017,59.09,80,0,1.07
95,Vao,NC,21-04-10 03:03:01,-22.6667,167.4833,75.45,92,100,13.18
96,Kendari,ID,21-04-10 03:03:01,-3.945,122.4989,84.15,65,100,4.97
97,Jansath,IN,21-04-10 03:03:01,29.3333,77.85,84.15,7,20,6.91
98,Pisco,PE,21-04-10 03:03:02,-13.7,-76.2167,68.0,77,0,17.27
99,Padang,ID,21-04-10 03:03:02,-0.9492,100.3543,84.2,74,20,4.61
100,Vestmannaeyjar,IS,21-04-10 03:03:02,63.4427,-20.2734,27.95,51,1,9.84
101,Butaritari,KI,21-04-10 03:03:03,3.0707,172.7902,82.33,76,100,14.38
102,Tessalit,ML,21-04-10 03:03:03,20.1986,1.0114,79.63,13,0,8.72
103,Sabha,LY,21-04-10 03:02:17,27.0377,14.4283,59.36,49,5,16.35
104,Pevek,RU,21-04-10 03:03:03,69.7008,170.3133,-5.19,85,46,2.64
105,Singapore,SG,21-04-10 03:02:08,1.2897,103.8501,87.8,66,75,9.22
106,Yantal,RU,21-04-10 03:03:04,56.8471,105.2542,22.53,60,79,7.31
107,Esperance,AU,21-04-10 03:01:15,-33.8667,121.9,66.2,52,90,13.8
108,Taunggyi,MM,21-04-10 03:03:04,20.7833,97.0333,81.05,33,0,2.37
109,Bastrop,US,21-04-10 03:03:04,32.7562,-91.8724,63.0,100,90,4.61
110,Hithadhoo,MV,21-04-10 03:03:05,-0.6,73.0833,82.83,70,4,8.88
111,Avarua,CK,21-04-10 03:03:05,-21.2078,-159.775,82.4,78,58,4.61
112,Victoria,HK,21-04-10 02:59:49,22.2855,114.1577,77.0,53,35,3.0
113,Vanimo,PG,21-04-10 03:03:06,-2.6741,141.3028,81.41,79,100,13.29
114,Cape Town,ZA,21-04-10 03:01:26,-33.9258,18.4232,64.0,94,20,5.75
115,Qaanaaq,GL,21-04-10 03:03:06,77.484,-69.3632,13.28,68,100,7.74
116,Tuktoyaktuk,CA,21-04-10 03:03:06,69.4541,-133.0374,-14.8,70,75,12.66
117,Yellowknife,CA,21-04-10 02:59:30,62.456,-114.3525,12.2,62,75,16.11
118,Alta Floresta,BR,21-04-10 02:59:56,-9.8756,-56.0861,71.13,97,95,4.07
119,Saint-Paul,RE,21-04-10 03:03:07,-21.0096,55.2707,75.99,83,75,11.5
120,Saint-Joseph,RE,21-04-10 03:03:07,-21.3667,55.6167,77.0,69,100,7.27
121,Polunochnoye,RU,21-04-10 03:03:07,60.8697,60.4153,35.1,91,100,2.73
122,Tazovskiy,RU,21-04-10 03:03:08,67.4667,78.7,33.49,95,100,20.74
123,North Myrtle Beach,US,21-04-10 02:59:10,33.816,-78.68,68.0,82,1,8.05
124,Hermanus,ZA,21-04-10 03:03:08,-34.4187,19.2345,64.0,85,100,6.98
125,Tadine,NC,21-04-10 03:03:09,-21.55,167.8833,76.71,88,100,10.33
126,Ponta Do Sol,PT,21-04-10 03:03:09,32.6667,-17.1,61.0,79,30,1.99
127,Remiremont,FR,21-04-10 03:03:09,48.0175,6.5882,51.8,43,100,12.66
128,Zhigansk,RU,21-04-10 03:03:09,66.7697,123.3711,10.47,77,100,16.22
129,Harper,LR,21-04-10 03:03:10,4.375,-7.7169,79.0,85,100,2.21
130,Kalmunai,LK,21-04-10 03:03:10,7.4167,81.8167,82.94,68,4,5.82
131,Koboko,UG,21-04-10 03:03:10,3.4136,30.9599,64.08,78,90,4.27
132,Dutse,NG,21-04-10 03:03:11,11.7594,9.3392,78.28,10,100,4.88
133,Mahebourg,MU,21-04-10 03:03:11,-20.4081,57.7,78.78,77,100,13.33
134,Guozhen,CN,21-04-10 03:03:11,34.3659,107.359,52.3,84,100,1.9
135,Yarmouth,US,21-04-10 03:02:16,41.7057,-70.2286,45.0,93,90,6.91
136,Mastic,US,21-04-10 03:03:12,40.802,-72.8409,46.99,93,90,3.44
137,Pangnirtung,CA,21-04-10 03:03:12,66.1451,-65.7125,14.0,85,90,5.75
138,Homer,US,21-04-10 02:59:23,59.6425,-151.5483,24.8,26,1,10.36
139,Walvis Bay,NA,21-04-10 03:01:42,-22.9575,14.5053,81.68,34,0,11.54
140,Lafiagi,NG,21-04-10 03:03:13,8.8667,5.4167,80.26,64,100,4.85
141,Carballo,ES,21-04-10 03:03:13,43.213,-8.691,54.0,94,54,3.76
142,Nome,US,21-04-10 03:00:05,64.5011,-165.4064,1.99,71,90,12.66
143,Chichli,IN,21-04-10 03:03:13,22.8333,78.8167,92.07,25,16,6.6
144,Bambanglipuro,ID,21-04-10 03:00:10,-7.95,110.2833,86.27,64,44,4.61
145,Jamestown,US,21-04-10 03:03:14,42.097,-79.2353,57.0,87,1,14.97
146,Tuim,RU,21-04-10 03:03:14,54.3417,89.9261,31.91,89,100,5.88
147,Kijang,KR,21-04-10 03:03:15,35.2442,129.2139,59.0,38,75,9.22
148,Fort Nelson,CA,21-04-10 03:03:15,58.8053,-122.7002,28.4,59,90,17.27
149,Barrow,US,21-04-10 03:03:15,71.2906,-156.7887,-9.4,70,1,12.66
150,Tuatapere,NZ,21-04-10 03:03:15,-46.1333,167.6833,57.0,91,100,5.99
151,Mar Del Plata,AR,21-04-10 02:59:34,-38.0023,-57.5575,64.0,82,75,6.91
152,Maningrida,AU,21-04-10 03:03:16,-12.0667,134.2667,88.83,56,84,5.08
153,Nikolskoye,RU,21-04-10 03:01:57,59.7035,30.7861,42.01,70,40,15.66
154,Nelipyno,UA,21-04-10 03:03:16,48.561,23.0315,36.0,71,99,1.01
155,Codrington,AU,21-04-10 03:02:06,-38.2667,141.9667,57.79,55,90,27.63
156,Bell Ville,AR,21-04-10 03:03:17,-32.6259,-62.6887,66.0,99,100,1.99
157,Lebu,CL,21-04-10 03:03:17,-37.6167,-73.65,53.83,83,78,14.34
158,Cururupu,BR,21-04-10 03:02:05,-1.8283,-44.8683,74.5,96,50,3.44
159,Plettenberg Bay,ZA,21-04-10 03:03:17,-34.0527,23.3716,60.22,79,45,3.74
160,Honggang,CN,21-04-10 03:03:18,46.4667,124.8667,63.03,16,12,23.96
161,Zabid,YE,21-04-10 03:03:18,14.1951,43.3152,74.66,55,80,4.09
162,Dingle,PH,21-04-10 03:03:18,10.9995,122.6711,86.95,60,63,13.24
163,Khorinsk,RU,21-04-10 03:03:19,52.1657,109.7726,36.25,37,81,14.92
164,Terekli-Mekteb,RU,21-04-10 03:03:19,44.1671,45.8698,44.55,77,100,13.06
165,Touros,BR,21-04-10 03:03:19,-5.1989,-35.4608,77.0,83,40,9.22
166,Narsaq,GL,21-04-10 03:03:19,60.9167,-46.05,33.8,80,75,1.14
167,Naze,JP,21-04-10 03:03:20,28.3667,129.4833,66.2,82,75,25.32
168,Beloha,MG,21-04-10 03:00:40,-25.1667,45.05,69.75,97,26,5.14
169,Brigantine,US,21-04-10 03:03:20,39.4101,-74.3646,51.01,93,90,8.05
170,Maraa,BR,21-04-10 03:03:20,-1.8333,-65.3667,75.69,90,100,3.47
171,Muros,ES,21-04-10 03:03:21,42.7762,-9.0603,54.0,93,88,3.0
172,Lavrentiya,RU,21-04-10 03:03:21,65.5833,-171.0,0.52,85,100,7.99
173,Saint-Philippe,RE,21-04-10 03:03:21,-21.3585,55.7679,77.0,69,100,10.96
174,Dekar,BW,21-04-10 03:03:22,-21.5333,21.9333,64.51,45,2,6.53
175,Ginda,IN,21-04-10 03:03:22,30.6945,78.4932,67.51,12,48,1.3
176,Boa Vista,BR,21-04-10 03:03:22,2.8197,-60.6733,77.0,88,40,3.44
177,Kenai,US,21-04-10 03:03:23,60.5544,-151.2583,19.4,35,1,19.57
178,Raudeberg,NO,21-04-10 03:03:23,61.9875,5.1352,35.01,84,100,21.61
179,Letlhakeng,BW,21-04-10 03:03:23,-24.0944,25.0298,65.14,45,0,4.12
180,Martapura,ID,21-04-10 03:03:24,-3.4167,114.85,82.4,83,40,5.75
181,Kudahuvadhoo,MV,21-04-10 03:03:24,2.6708,72.8944,82.26,74,13,6.76
182,Yar-Sale,RU,21-04-10 03:01:29,66.8333,70.8333,34.07,99,100,16.82
183,Ambatondrazaka,MG,21-04-10 03:03:24,-17.8333,48.4167,62.91,95,100,2.59
184,Bethel,US,21-04-10 03:01:08,41.3712,-73.414,52.0,84,99,3.67
185,Dikson,RU,21-04-10 03:03:25,73.5069,80.5464,30.02,95,100,29.89
186,Constitucion,CL,21-04-10 03:01:03,-35.3333,-72.4167,52.52,89,15,11.32
187,Tamandare,BR,21-04-10 03:00:12,-8.7597,-35.1047,77.14,86,87,8.37
188,Manono,CD,21-04-10 03:03:25,-7.3,27.4167,68.36,96,97,3.49
189,Cabo San Lucas,MX,21-04-10 03:02:46,22.8909,-109.9124,72.0,73,1,3.44
190,The Valley,AI,21-04-10 03:03:25,18.217,-63.0578,77.0,61,20,12.66
191,Abha,SA,21-04-10 03:03:26,18.2164,42.5053,62.6,48,20,2.77
192,Kerman,IR,21-04-10 03:01:21,30.2832,57.0788,51.8,24,0,4.61
193,Bathsheba,BB,21-04-10 03:01:46,13.2167,-59.5167,78.8,65,20,8.05
194,Bom Jesus Da Lapa,BR,21-04-10 03:03:26,-13.255,-43.4181,74.93,55,49,8.7
195,Maudaha,IN,21-04-10 03:03:27,25.6833,80.1167,90.01,5,44,10.02
196,Mehamn,NO,21-04-10 03:03:27,71.0357,27.8492,21.43,71,82,8.77
197,Iquitos,PE,21-04-10 03:03:27,-3.7481,-73.2472,78.8,89,0,3.44
198,Charters Towers,AU,21-04-10 03:03:28,-20.1,146.2667,88.56,29,4,3.15
199,Geraldton,AU,21-04-10 03:03:28,-28.7667,114.6,77.0,61,90,23.02
200,Olafsvik,IS,21-04-10 03:03:28,64.8945,-23.7142,31.37,63,19,5.77
201,Nola,IT,21-04-10 03:03:29,40.922,14.5329,46.0,70,0,3.44
202,Cozumel,MX,21-04-10 03:01:58,20.5083,-86.9458,80.01,89,20,8.05
203,Balakovo,RU,21-04-10 03:03:29,52.0278,47.8007,37.4,94,100,16.51
204,Cochrane,CA,21-04-10 03:00:10,51.1834,-114.4687,37.4,48,1,9.22
205,Tual,ID,21-04-10 03:03:30,-5.6667,132.75,81.55,76,96,6.35
206,Cooma,AU,21-04-10 03:03:30,-36.2333,149.1333,57.2,47,27,11.5
207,Komsomolskiy,UZ,21-04-10 03:03:30,40.4272,71.7189,57.2,38,0,2.24
208,Severo-Kurilsk,RU,21-04-10 03:03:30,50.6789,156.125,33.08,89,93,5.26
209,Premia De Mar,ES,21-04-10 03:03:31,41.4921,2.3652,55.99,81,88,4.83
210,Bahia Honda,CU,21-04-10 03:03:31,22.9036,-83.1592,72.95,90,64,6.91
211,Tombouctou,ML,21-04-10 03:03:31,20.0,-3.0,80.55,15,0,6.62
212,Chuy,UY,21-04-10 02:58:40,-33.6971,-53.4616,67.87,92,97,3.67
213,Bay Roberts,CA,21-04-10 03:03:32,47.5999,-53.2648,37.99,97,100,4.0
214,Kushikino,JP,21-04-10 03:03:32,31.7167,130.2667,62.6,42,20,5.75
215,Waipawa,NZ,21-04-10 03:03:32,-41.4122,175.5153,68.0,68,90,24.16
216,New Norfolk,AU,21-04-10 03:03:33,-42.7826,147.0587,54.0,69,64,4.0
217,Margate,GB,21-04-10 03:03:30,51.3813,1.3862,44.01,78,100,1.99
218,Uthal,PK,21-04-10 03:03:33,25.8072,66.6219,80.92,43,0,7.09
219,Lagoa,PT,21-04-10 02:59:42,39.05,-27.9833,58.12,86,100,15.14
220,San Quintin,MX,21-04-10 03:03:34,30.4833,-115.95,59.09,87,37,9.71
221,San Nicola,IT,21-04-10 03:03:34,40.6116,8.991,48.2,93,40,2.3
222,Bhadrachalam,IN,21-04-10 03:03:15,17.6667,80.8833,86.02,53,33,7.61
223,Concarneau,FR,21-04-10 03:03:34,47.875,-3.9225,48.2,100,90,10.36
224,Carnarvon,AU,21-04-10 03:03:35,-24.8667,113.6333,93.2,46,82,18.41
225,Zheleznodorozhnyy,RU,21-04-10 03:03:35,55.7503,38.0042,33.01,86,0,6.71
226,Senanga,ZM,21-04-10 03:03:35,-16.1167,23.2667,59.97,56,0,5.1
227,Shimoda,JP,21-04-10 03:03:36,34.6667,138.95,51.8,54,75,13.8
228,Hammerfest,NO,21-04-10 03:03:36,70.6634,23.6821,19.4,73,64,7.9
229,Majene,ID,21-04-10 03:03:36,-3.5403,118.9707,84.51,64,64,4.85
230,Kavaratti,IN,21-04-10 03:03:36,10.5669,72.642,82.31,67,31,3.29
231,La Ronge,CA,21-04-10 03:03:37,55.1001,-105.2842,35.6,48,43,4.61
232,Alice Springs,AU,21-04-10 03:03:37,-23.7,133.8833,82.99,32,71,14.97
233,Pokhara,NP,21-04-10 03:03:37,28.2333,83.9833,82.92,12,0,3.96
234,Pak Phanang,TH,21-04-10 03:03:38,8.3511,100.202,91.99,70,20,2.3
235,Salinas,US,21-04-10 03:01:09,36.6777,-121.6555,53.6,71,90,13.8
236,Caluquembe,AO,21-04-10 03:03:38,-13.7833,14.6833,60.73,75,99,2.1
237,Mayumba,GA,21-04-10 03:03:38,-3.432,10.6554,79.59,87,99,4.83
238,Anshun,CN,21-04-10 03:03:39,26.25,105.9333,49.98,95,100,3.67
239,Baykit,RU,21-04-10 03:03:39,61.67,96.37,25.2,73,14,1.61
240,Laguna,US,21-04-10 03:03:39,38.421,-121.4238,62.01,55,1,9.22
241,Yelanskiy,RU,21-04-10 03:03:40,56.8419,62.5014,37.26,98,100,8.55
242,Vila Franca Do Campo,PT,21-04-10 02:58:54,37.7167,-25.4333,57.2,88,40,6.91
243,Purworejo,ID,21-04-10 03:03:40,-6.7872,111.9224,83.01,74,28,2.24
244,Khatanga,RU,21-04-10 03:03:41,71.9667,102.5,9.45,73,23,9.17
245,San Bartolome De Tirajana,ES,21-04-10 03:03:41,27.9248,-15.5733,66.2,77,20,10.36
246,Bredasdorp,ZA,21-04-10 03:03:41,-34.5322,20.0403,62.6,94,100,5.03
247,Hamilton,US,21-04-10 03:01:41,39.1834,-84.5333,64.99,67,20,20.71
248,Torbay,CA,21-04-10 03:03:42,47.6666,-52.7314,37.0,100,90,10.36
249,Klamath Falls,US,21-04-10 03:03:42,42.2249,-121.7817,54.0,24,1,13.8
250,Beringovskiy,RU,21-04-10 03:01:07,63.05,179.3167,7.93,94,100,21.97
251,Kavieng,PG,21-04-10 03:03:42,-2.5744,150.7967,83.34,72,81,8.34
252,Kuusamo,FI,21-04-10 03:00:38,65.9667,29.1833,32.0,93,90,14.97
253,Saint George,US,21-04-10 03:00:09,37.1041,-113.5841,75.2,9,1,11.5
254,Flinders,AU,21-04-10 02:59:17,-34.5833,150.8552,73.0,46,24,8.01
255,Salym,RU,21-04-10 03:03:43,60.0625,71.4789,33.53,96,92,7.52
256,San Policarpo,PH,21-04-10 03:01:59,12.1791,125.5072,83.86,62,83,10.31
257,Havoysund,NO,21-04-10 03:03:44,70.9963,24.6622,19.4,73,61,9.89
258,Vardo,NO,21-04-10 03:03:09,70.3705,31.1107,32.14,70,98,4.03
259,Killybegs,IE,21-04-10 03:03:44,54.6333,-8.45,30.0,94,92,1.01
260,Castro,BR,21-04-10 03:00:24,-24.7911,-50.0119,60.87,74,64,3.4
261,Lichtenburg,ZA,21-04-10 03:03:45,-26.152,26.1597,59.34,48,0,3.47
262,Heilbron,ZA,21-04-10 03:03:45,-27.2812,27.9709,56.44,49,0,2.71
263,Rocha,UY,21-04-10 03:00:25,-34.4833,-54.3333,64.76,94,100,1.97
264,Maragogi,BR,21-04-10 03:03:46,-9.0122,-35.2225,77.4,84,78,8.25
265,Alofi,NU,21-04-10 03:03:46,-19.0595,-169.9187,80.6,74,99,2.3
266,La Primavera,CO,21-04-10 03:03:46,5.4906,-70.4092,78.1,81,90,2.98
267,Kieta,PG,21-04-10 03:03:47,-6.2167,155.6333,83.28,78,40,6.02
268,Katsuura,JP,21-04-10 03:03:47,35.1333,140.3,57.99,57,99,3.0
269,Nyurba,RU,21-04-10 03:03:47,63.2842,118.3319,9.72,82,100,8.59
270,Sitio Novo Do Tocantins,BR,21-04-10 03:03:48,-5.5183,-47.4611,78.8,94,0,2.24
271,Guaimaro,CU,21-04-10 03:03:48,21.05,-77.35,75.2,83,1,8.05
272,Salalah,OM,21-04-10 03:01:35,17.0151,54.0924,78.8,73,20,2.3
273,Mananjary,MG,21-04-10 03:03:48,-21.2167,48.3333,73.36,92,93,3.27
274,Tura,IN,21-04-10 03:00:57,25.5198,90.2201,84.11,48,7,5.26
275,Hay River,CA,21-04-10 03:03:49,60.8156,-115.7999,14.0,85,100,18.41
276,Kemijarvi,FI,21-04-10 03:03:49,66.7131,27.4306,32.7,88,100,10.47
277,Sibolga,ID,21-04-10 02:58:53,1.7427,98.7792,85.15,67,86,2.77
278,Obo,CF,21-04-10 03:03:49,5.3998,26.4869,67.95,85,36,3.85
279,Laurel,US,21-04-10 02:59:57,39.0993,-76.8483,55.4,94,90,4.61
280,Inongo,CD,21-04-10 03:03:50,-1.95,18.2667,72.25,92,100,4.14
281,Tiksi,RU,21-04-10 03:03:50,71.6872,128.8694,-6.39,98,100,5.3
282,Buala,SB,21-04-10 03:03:50,-8.145,159.5921,80.78,83,100,10.13
283,Nederweert,NL,21-04-10 03:03:51,51.2833,5.7333,45.0,84,100,1.99
284,Hami,CN,21-04-10 03:03:51,42.8,93.45,59.38,28,99,8.72
285,Xixiang,CN,21-04-10 03:03:51,35.1628,112.865,65.73,40,74,11.63
286,Onega,RU,21-04-10 03:03:52,63.9061,38.1404,35.35,85,100,16.91
287,Marau,BR,21-04-10 03:00:20,-28.4492,-52.2,66.4,71,42,3.04
288,Gao,ML,21-04-10 03:03:52,16.6362,1.637,80.46,9,0,11.56
289,Iqaluit,CA,21-04-10 03:03:52,63.7506,-68.5145,5.0,78,75,12.66
290,Cidreira,BR,21-04-10 03:03:53,-30.1811,-50.2056,73.98,80,100,8.37
